,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2019-12,50.10986562217879,703.7128764273476,3536.6830330038365,956.2548495636089,421.8900000000018,292.2349787338622,939254.9937238682,161564247.47818762,,0.0,3408965.047766697,84915.02673378981,16207.28134268213,9.588274975840568,13547.944025359327,100.0694651111575,91084.47357384246,34.71487825670373,1067.283603970681,16874123.711638585,1232268.7662203028,59433457.72137723,11646825.140064767,41208247.600444846,919168.9146995025,9068.189034734107,41333604.5741107,105868.85330838976,126615.813586169,18224.217274085633,46539.109823288534,105868.85330838976,18717.966777464004,83903.64424895094,2177115.718699549,,,,103.19721464493588
2020-01,40.81121779956141,442.12627982476187,3747.9583464802126,902.7822948446947,527.7700000000018,298.5137574799096,97557.40600143482,15294127.81010127,,0.0,136894.76018100686,36190.22221373119,,,,100.552541761185,,,-8841.66187043021,2470668.9991030903,61921.912796919176,7459427.240698399,-1620299.911525847,1337187.9154417836,120266.08640946909,,39416843.59740397,,-2246.3262706168807,18984.076306202416,36651.03669117335,,,37208.790183600584,514983.9020950133,,,,103.82721464493588
2020-02,40.97366724695125,781.0090086691691,4015.7691207559146,856.9590897621595,483.81000000000176,298.18676210801004,168677.68061189304,24631225.082935814,,0.0,371669.67886555183,47868.602799164626,,,,100.06618837864158,,,-8841.66187043021,3600175.7732957974,171668.1228972386,11935275.773692407,-1276792.2142128726,3023848.4777191165,172437.20886918248,,37163599.97511259,,4799.5526119640635,19236.426150000672,37583.434356714984,,,41486.77378836609,599149.2284941286,,,,105.1972146449359
2020-03,49.25937192486009,1014.0990546037765,4611.267556498087,825.9799302007739,480.26000000000175,303.11505675243444,246142.86592846023,42165779.46417198,,0.0,694367.0148540767,77037.70925417336,5390.981945982927,5.226200726616172,10922.206140113005,100.23204244189023,132079.4470734358,33.77296039545752,-5704.111510168484,4904621.40927595,287983.89315684116,16136268.568907555,864905.3345260046,10560395.727629129,235428.79040235278,7413.775583706956,34821012.186043434,-238454.74845606415,16869.804854336653,24558.355876642752,40113.453058318235,-238454.74845606415,19466.166380661896,45256.083651415815,722672.3756856096,,,,105.1972146449359
2020-04,54.47904976578159,922.2193076811232,3309.157980226735,964.6631360621552,499.1400000000018,328.06681007352256,336210.2342298442,61711859.81566511,,0.0,999049.9668041238,92695.98457106782,,,,100.03258212819524,,,-4045.8571963126515,6139899.213327031,435921.94971003506,21452347.151450828,3370825.127967941,15354707.006951893,316871.2698053677,,31333263.129884925,,26196.42771743496,421506.1739144917,41050.87574274137,,,48511.876970980324,926263.486382096,,,,105.1972146449359
2020-05,83.36724852147863,893.6025580304247,3803.9217072237752,924.0161128862475,656.6400000000018,394.5170186440829,403265.71597690065,72600484.03808554,,0.0,1235273.1552374014,94398.22574796494,,,,100.21917596079963,,,-3164.5736403112905,7635315.206016561,573287.4849018003,25690197.459819946,4255481.551660769,17890157.42148129,379858.1450322391,,36315541.89842717,,31619.78470431753,27425.9122484494,40906.39766554163,,,52791.782039976555,1341340.7531177902,,,,105.18721464493589
2020-06,147.70217719422075,839.7326865665084,3888.834686909472,1012.4682403144454,1028.2600000000018,363.54050845634333,480793.61595121573,81621588.62544683,,0.0,1511741.395210606,96490.73028673767,10512.934426094169,7.4489224701302925,13371.605568535186,100.22385060991287,136311.7508660559,31.986083994441604,-3531.2224172107867,9110009.924761755,734524.6181192913,30012571.8269969,4418227.92535788,19652186.611631565,464565.454878907,9419.223105895619,36807418.67604911,-229390.5183127505,45146.330280922506,27152.031009099763,43140.190653521095,-229390.5183127505,23435.52544622883,56697.20797540542,1637084.498750319,,,2807.517363278408,105.1872146449359
2020-07,139.26511226739896,866.6478588814209,4260.797874926797,1000.0370523844574,1035.4600000000019,330.26078699220636,568268.5820863217,100882806.28454055,,0.0,1809817.0635999984,113187.8500822168,,,,100.20990475621223,,,-3684.7636380015465,10606179.103687976,843782.8154028341,35509826.72315931,6674111.4494316075,25243188.46744762,568552.1256857796,,34735973.619454145,,54923.97946493364,25702.161095666204,40554.27052148898,,,60779.304691347315,1740061.0288273545,,,,105.1772146449359
2020-08,137.43238566884673,856.7185342589594,5170.694622168091,1172.1200829500158,815.2200000000018,322.1795407336655,643645.2549796154,110775195.10223025,,0.0,2040935.0647475193,113668.02812262267,,,,99.49649858881659,,,-4358.010154863995,12235355.580983331,916308.476174358,39880520.946668446,6795332.30464766,27546380.948941797,640231.0158319601,,33438402.7912417,,63391.74151547449,25523.794123990505,38942.37072213077,,,71276.31721063425,1830505.102536494,,,,105.1772146449359
2020-09,128.2118355256734,1021.0266705397698,4057.258865053212,1154.602368011604,739.7700000000018,306.4478562953407,718105.8031142491,120490548.23089378,,0.0,2342945.1454042834,115868.31021254715,7653.107267193057,8.54143782462332,16691.61086807846,99.65689786657379,154962.35107486663,31.102977331477014,-2583.830620703021,13759601.419105735,984139.8126336221,44336115.461073756,6905023.976776009,29653808.841945123,710394.2725483209,11248.830136384684,36872989.40449557,-256939.96578619024,81996.7225048025,25752.608705443567,40194.593130386085,-256939.96578619024,25007.88735347561,86514.53200539696,1906144.0580457144,,,,105.17721464493592
2020-10,129.91850793161314,1030.6474909193566,4367.133601237953,1180.6797467364886,688.8100000000019,283.80852300180175,817879.5167248504,140498594.76891187,,0.0,2644859.320438387,115958.26106500166,,,,99.84786711205955,,,-519.8982552332214,15046906.009524418,1078328.7445385626,49911723.900119275,9187787.254593836,35377813.87885318,789515.2725412943,,41270841.42521533,,91012.44540505984,24879.717393888808,42027.31382339928,,,99227.8213492186,2020330.4838348273,,,,105.16721464493592
2020-11,89.32165217919558,1067.4413203485994,4318.072062155423,1181.788931861392,529.6500000000019,303.29867507301424,901828.6528204336,152332668.14213985,,0.0,2907109.0208398607,116494.27989323676,,,,100.33094376179979,,,-6250.018078452752,16402083.653300775,1161055.3608630407,55148100.94213173,9376444.439708203,38088635.76190885,881144.2193390699,,34470867.56909275,,103967.46434926186,26714.723379746225,41912.203162961836,,,112491.98669701182,2666575.122709514,,,,105.16721464493592
2020-12,102.46251151576278,999.3899165321116,4454.585634675406,1207.3944414389323,525.8500000000038,300.6902192435611,987187.5379016467,168912269.0102853,7.710000000000001,0.0,3354827.4470377876,118666.4212481649,20065.456654366513,9.801619288935449,19054.114129950714,100.16894553059444,158009.8511555354,30.138426705475318,-5169.756337676795,17753693.15575876,1329614.247254428,63596539.1096056,9922384.95075203,41924414.85679581,1013953.0604627748,12703.947655951346,42772370.54904399,-187874.0686689021,138369.80496124356,27828.431730532822,49475.4982370792,-187874.0686689021,28671.74587532896,120448.81124101613,2584108.209534929,2787.3333333333335,121.93666666666667,2786.4418411061615,105.1644292898718
